[00:00 - 00:01]  ресурсы, правильно?
[35:52 - 35:59]  Поэтому мы понимаем, что все ресурсы исчерпаемые, да, и надо как-то к этому относиться.
[36:00 - 36:09]  Посмотрите, стали строить электростанции, используя совершенно форму обогрева.
[36:10 - 36:12]  Следующий, сырая нефть.
[36:14 - 36:16]  Ну, сырая нефть.
[36:17 - 36:18]  Сырая нефть.
[36:18 - 36:23]  1,8 триллиона баррелей.
[36:24 - 36:27]  Одна баррель – это бочка получается.
[36:28 - 36:31]  8 миллиардов, да, баррелей?
[36:31 - 36:34]  Не-не, 2 триллиона баррелей.
[36:34 - 36:43]  2 триллиона и у нас 9 знаков, правильно ли, да, ребята?
[36:44 - 36:44]  Угу.
[36:49 - 36:50]  Так.
[36:50 - 36:51]  Или больше.
[36:51 - 36:53]  Сколько знаков триллиона?
[36:53 - 36:54]  Ну, 12.
[36:58 - 36:58]  12?
[36:59 - 37:02]  5 миллиардов в год потребляется.
[37:02 - 37:03]  5 миллиардов?
[37:04 - 37:04]  Да.
[37:04 - 37:06]  Итак, на сколько лет хватит?
[37:07 - 37:08]  Ну, на 60.
[37:09 - 37:10]  На 60?
[37:10 - 37:11]  Да.
[37:11 - 37:14]  На 60 лет сырой нефти.
[37:15 - 37:20]  Я уже буду с тропиком, Лена.
[37:20 - 37:23]  Это очень непросто, поэтому стоит проблема номер раз, да?
[37:24 - 37:28]  Замена нефти. 60 лет и нефти не будет.
[37:29 - 37:32]  И на чем же он летает? Мы будем в самолеты.
[37:33 - 37:36]  Потихоньку делают электрическое влияние, обычно.
[37:36 - 37:39]  Это очень непросто, это перестройка технологии.
[37:40 - 37:42]  Это 21 век.
[37:42 - 37:48]  Говорим, 21 век это раздел территории, это новая форма жизни.
[37:48 - 37:49]  Вот вам, пожалуйста.
[37:50 - 37:51]  Итак, следующий, газ.
[37:53 - 37:58]  Газ 209 триллионов кубометров.
[37:59 - 38:01]  Ребят, а вы записываете, что говорит он?
[38:02 - 38:10]  209 триллионов кубометров газа.
[38:14 - 38:16]  Использование в год.
[38:16 - 38:19]  3,2, там, триллиона.
[38:19 - 38:23]  4,2, а там 201, на сколько лет?
[38:27 - 38:30]  Ну, где-то 80, да?
[38:36 - 38:40]  Ну, где-то 50-60, тоже.
[38:41 - 38:42]  60 лет?
[38:42 - 38:43]  Да, да.
[38:43 - 38:46]  Меньше 40 лет.
[38:48 - 38:50]  Да, ладно.
[38:50 - 38:51]  Да, мы все сдохнем быстрее.
[38:51 - 38:54]  Не по чуть-чуть, раззема, хоть нефть.
[38:55 - 39:02]  Да, значит, надо больше тратить.
[39:02 - 39:03]  Больше убивать.
[39:04 - 39:13]  И последняя железная руда
[39:13 - 39:19]  Посмотрите, мы даже научились танки делать
[39:19 - 39:24]  Какая-то не полностью железная, а с какими-то добавками
[39:24 - 39:25]  Легкие облегченные танки
[39:25 - 39:27]  Ничего
[39:27 - 39:29]  Железная руда
[39:29 - 39:34]  200 триллионов тонн
[39:34 - 39:36]  200 триллионов тонн
[39:36 - 39:37]  А, миллиардов тонн
[39:37 - 39:38]  Миллиардов
[39:38 - 39:42]  Миллиардов
[39:42 - 39:43]  На сколько лет?
[39:48 - 40:06]  На сколько лет?
[40:07 - 40:08]  Ну, на 33 года.
[40:08 - 40:10]  На 33 года.
[40:13 - 40:14]  Ну, сколько же, да.
[40:14 - 40:17]  Вот вам, пожалуйста, уровень цивилизации.
[40:18 - 40:27]  Уровень цивилизации. Ребята, это я, преподаватель географии, найдя такие, в общем-то, возможные...
[40:27 - 40:33]  У нас есть астероиды, есть. Можно сбивать, можно...
[40:33 - 40:39]  Думаю, давайте мы посмотрим. Потому что мы привыкли к тому, что это у нас с вами все есть.
[40:40 - 40:42]  Мы это все используем, а на сколько лет?
[40:42 - 40:47]  Ведь человек живет, будем говорить, в среднем 80 лет, да?
[40:48 - 40:49]  И сколько поколений еще будет?
[40:49 - 40:56]  Ну, на втором поколении уже закончится, всё практически.
[40:56 - 41:04]  Мировой армоники заключается в создании новых нагрузок.
[41:04 - 41:07]  Я ещё и в том смысле.
[41:07 - 41:12]  Солнечные батареи, это становится актуальным, да?
[41:12 - 41:20]  И если не будет газа, и отопительная форма, она тоже изменится, она приходит на электричество.
[41:20 - 41:36]  Если электрическая атомная электростанция, нужно их возводить в разных местах. Это, с одной стороны, технология современная, но она, с другой стороны, опасная.
[41:36 - 41:45]  Поэтому решение вопроса, подачи цвета и тепла, стоит на первом месте, ребята.
[41:45 - 41:52]  А мы атомные электростанции на территории Российской Федерации вообще предпочли строить.
[41:52 - 41:53]  Ну и, кстати, что?
[41:53 - 41:56]  По определенным причинам.
[41:57 - 42:01]  То, что специалисты, оборудование.
[42:02 - 42:07]  Самое мощное оборудование атомных электростанций у какой страны?
[42:08 - 42:09]  Америка.
[42:10 - 42:11]  Япония.
[42:11 - 42:12]  А, Япония.
[42:13 - 42:14]  Япония.
[42:14 - 42:15]  Самая крупная.
[42:15 - 42:15]  Почему?
[42:16 - 42:21]  Потому что вся территория у них омывается Тихим океаном.
[42:21 - 42:23]  Океан это дело серьезное.
[42:24 - 42:29]  Итак, у них все подземные атомные электростанции, они не наземные.
[42:29 - 42:30]  Они все подземные.
[42:30 - 42:57]  Поэтому, когда произошел взрыв в Японии, атомная электронная санкция фактически и сюда пошел вторую земную крану Москвы, и от этого произошло немного отклонение к оси вращения земного шара на какие-то сотые градусы, поэтому с этим связываются изменения в Китае.
[42:57 - 43:00]  Итак, группа молодец, нам помогал кто?
[43:01 - 43:01]  Фамилия?
[43:01 - 43:02]  Зиганшин.
[43:02 - 43:03]  Зиганшин.
[43:04 - 43:05]  Угольный хранитель.
[43:06 - 43:07]  Зиганшин.
[43:08 - 43:14]  Зиганшин, отправьте, пожалуйста, свою таблицу Вари, а Вари отправят всем.
[43:14 - 43:15]  Один один триллион.
[43:16 - 43:21]  Чтобы знали, что все это очень-очень требует бережного отношения.
[43:21 - 43:27]  Следующие, ребята, запишите, пожалуйста, следующие данные.
[43:27 - 43:40]  Водохранилище мира, крупнейшее водохранилище мира.
[43:41 - 43:43]  Парвара, отправиться, ладно?
[43:44 - 43:45]  Ребята, знали.
[43:46 - 43:48]  Каждый, конечно, помогли.
[43:51 - 43:55]  Сиганшин Мурат, он молодец.
[43:55 - 43:56]  Правильно я сказала?
[43:56 - 43:57]  Да.
[43:58 - 43:58]  Молодец.
[44:00 - 44:04]  Включает математику с понятиями.
[44:04 - 44:07]  Он понимает, что такое прибыль.
[44:08 - 44:09]  Знание от этой прибыли.
[44:09 - 44:14]  Водохранилище мира.
[44:17 - 44:20]  Барень, да.
[44:20 - 44:28]  Мы делим на три части, мы делим кавлицу на три части.
[44:29 - 44:31]  А две или на три?
[44:31 - 44:32]  Три.
[44:32 - 44:32]  На три.
[44:40 - 44:49]  Мы не стали на это уроки, потому что вы карты получали, мы это перенесли на следующий урок, на следующее занятие, да?
[44:54 - 44:57]  Эй, эй, эй, за бумаги.
[44:58 - 44:59]  На это бумаги, не прыгай, нормально.
[45:01 - 45:03]  Я не делала, она не прыгнула.
[45:04 - 45:07]  Я помню, что 20 таких книгах делала.
[45:07 - 45:32]  Итак, первое, напишите название, где находится это водохранилище, то есть в какой стране.
[45:33 - 45:33]  Объем.
[45:34 - 45:39]  И третье, объем километра.
[45:43 - 45:50]  Газ и железную воду.
[45:50 - 45:54]  Это объем воды, который находится в этих водохранилищах.
[45:56 - 45:58]  Готовы дальше работать?
[45:58 - 47:13]  По списку вниз Виктория, первое Виктория, Радское водохранилище, следующее Кариба, следующее водохранилище Наса, как еще раз?
[47:13 - 47:17]  АСРАВНЫЙ
[47:17 - 47:18]  АСРАВНЫЙ
[47:24 - 47:26]  Второй, а второй, а второй
[47:26 - 47:28]  Второй?
[47:28 - 47:29]  А, братская
[47:29 - 47:31]  А, братская
[47:31 - 47:36]  Следующий, ВОЙТА
[47:38 - 47:41]  ВОЙТА
[47:41 - 47:43]  Как еще?
[47:43 - 47:44]  ВОЙТА
[47:44 - 47:46]  ВОЙТА?
[47:46 - 47:47]  ВОЙТА
[47:47 - 47:48]  ВОЙТА
[48:00 - 48:05]  Знаешь, что здесь? Призыв к действию.
[48:06 - 48:08]  Просто действуйте.
[48:08 - 48:10]  Следующее водохранилище.
[48:11 - 48:12]  Даниэл.
[48:15 - 48:16]  Даниэл.
[48:18 - 48:19]  Черточка Джонсон.
[48:25 - 48:27]  Даниэл Джонсон.
[48:28 - 48:33]  У тебя еще на карте написано.
[48:33 - 48:35]  У тебя на карте черный кислят.
[48:35 - 48:38]  Так я ее не получил, я паспорт отдал.
[48:39 - 48:41]  Следующее водохранилище.
[48:42 - 48:42]  Бури.
[48:43 - 48:44]  Кури.
[48:46 - 48:48]  Кури.
[48:48 - 48:49]  Что ты тогда там делал?
[48:53 - 48:56]  Получал карточку, поэтому запретили.
[48:57 - 49:02]  Я думал о тебе могу коньером всю книгу показать и все.
[49:02 - 49:06]  Я как раз на очередь на сал, меня развернули.
[49:06 - 49:07]  Следующее водохранилище.
[49:08 - 49:15]  Вади, Тар, Вади, Тар, Тар.
[49:17 - 49:21]  А, Тар, Тар, Тар, Тар.
[49:23 - 49:25]  Озов, ой.
[49:25 - 49:31]  Если вдруг спросит, как это идет, надо пьяный, погоди.
[49:31 - 49:33]  Следующее водохранилище, Красноярская.
[49:49 - 49:50]  Последнее.
[49:53 - 49:56]  Воробу в детстве умел делать.
[49:56 - 50:00]  О, я умел делать, как это было.
[50:00 - 50:03]  Я помню, у нас, короче, это школьный лагерь.
[50:04 - 50:04]  Кажем.
[50:05 - 50:07]  Последний Гордон.
[50:08 - 50:10]  О, Гордон.
[50:10 - 50:10]  Гордон.
[50:14 - 50:31]  Укажите страну, где возведено водохранилище, объем воды в хранилище.
[50:35 - 50:37]  200 миллиардов.
[50:37 - 50:38]  Миллиард?
[50:38 - 50:38]  Маловато будет.
[50:39 - 50:42]  Да, на 33 года, только хватит.
[50:50 - 50:57]  Нет, Вова, Вова, зачем ты так сидишь?
[50:57 - 50:58]  Не мамачку?
[50:58 - 51:00]  Я сюда, я сюда не попадаю.
[51:01 - 51:02]  Ты знаешь, такое твое что-то?
[51:04 - 51:04]  Да.
[51:06 - 51:08]  Да, блядь, сука крутится.
[51:09 - 51:09]  Сука.
[51:10 - 51:10]  Видишь?
[51:11 - 51:12]  Нет, на.
[51:13 - 51:15]  Мне кажется, у тебя центр тяжести неправильный.
[51:20 - 51:31]  Нет, мне кажется, у него центр тяжести еще чуть-чуть тяжелее, типа.
[51:32 - 51:34]  Терпич, понимаете, погодно?
[51:34 - 51:35]  Пару грамм мало.
[51:36 - 51:38]  Я знаю почему, у вас она подает, а у меня и добавили.
[51:39 - 51:41]  Тернесики я делаю немножко.
[51:41 - 51:43]  Потому что я понимаю, как это легко сделать.
[51:45 - 51:47]  Вот сюда надо вот так давить.
[51:48 - 51:49]  Если бы это здесь.
[51:49 - 51:56]  Вменьшу, я раз не упал.
[51:56 - 52:44]  Давайте за твой инвалид, она еле, еле, еле, еле, еле, еле, еле, еле, еле, еле, еле, еле, еле, еле, еле, еле, еле, еле, еле, еле, еле, еле, еле, еле, еле, еле, еле, еле, еле, еле, еле, еле, еле, еле, еле, еле, еле, еле, еле, еле, еле, еле, еле, еле, еле, еле, еле, еле, еле, еле, еле, еле, еле, еле, еле, еле, еле, еле, еле, еле, еле, еле, еле, еле, еле, еле, еле, еле, еле, еле,
[52:44 - 52:57]  Итак, следующая таблица запишет страны-лидеры по размеру лесной площади.
[52:58 - 52:58]  Слышу?
[52:59 - 53:01]  Страны-лидеры по размеру лесной площади.
[53:01 - 53:05]  Это на машине задание? Или еще одна таблица?
[53:06 - 53:07]  Это еще таблица.
[53:07 - 53:07]  Зачем?
[53:08 - 53:14]  Страны-лидеры по размеру лесной площади.
[53:17 - 53:24]  Перечислю страны, которые обладают достаточно крупными лесными массивами.
[53:24 - 53:34]  Ваша задача указать число миллионов металлесатых, какие государства у вас имеют.
[53:34 - 53:36]  Кстати, хочу новую карту посмотреть в Африке.
[53:36 - 53:45]  Через запятую можете ставить, потому что таблицу, как у вас это получится.
[53:47 - 53:51]  Рано видели по лесной площади.
[53:54 - 53:59]  Ну смотри, она кого-то меньше была.
[53:59 - 54:00]  Африка.
[54:02 - 54:03]  Не, она больше стала.
[54:03 - 54:04]  Потому что время идет.
[54:05 - 54:06]  Не, вот с этой стороны, да, но просто было бы меньше.
[54:08 - 54:09]  Ну, все.
[54:09 - 54:11]  Заканчивается, а где-то вот тут на красном.
[54:14 - 54:15]  Канада.
[54:19 - 54:21]  Зимия.
[54:22 - 54:24]  Не в джунде.
[54:27 - 54:29]  США.
[54:33 - 54:33]  США.
[54:37 - 54:42]  Блин, бедные США у них этот, они уменьшились из-за Африки.
[54:42 - 54:42]  Гондурас, можешь показать?
[54:43 - 54:43]  А?
[54:43 - 54:44]  Гондурас можешь показать?
[54:44 - 54:45]  Гондурас?
[54:47 - 54:48]  Я не знаю, что это.
[54:48 - 54:49]  Гондурас старался такая.
[54:50 - 54:51]  Нет.
[54:51 - 54:52]  Гондурас.
[54:52 - 54:54]  США вообще не сослался.
[54:54 - 54:55]  Вот она вот тут.
[54:55 - 54:56]  А.
[54:56 - 54:58]  А, могу не верю, показать.
[54:58 - 54:59]  Гондурас.
[54:59 - 55:35]  государство, это государство, Австралия, Китай, Индонезия, Нигер теперь больше, чем Германия,
[55:35 - 55:52]  Индонезия, на большую календарь, Перу, государство, Перу,
