[00:00 - 00:03]  романтизма, активистов и пессимистов.
[03:44 - 03:46]  Я объясню, ладно сейчас?
[03:47 - 04:29]  Реализм – это правдивое изображение типических характеров, типичных обстоятельствах, изучение жизни в ее противоречиях.
[04:29 - 04:47]  Типичных обстоятельств, изучение жизни, ее обстоятельства.
[04:49 - 04:51]  А, в ее противоречиях, да?
[04:52 - 04:52]  Да, да.
[04:54 - 04:55]  В ее противоречиях.
[05:00 - 05:14]  Итак, в середине 1820-х годов, начало 20-го века, романтизм достигает своего пика.
[05:14 - 05:22]  Но уже в это время в недрах литературы зарождаются новые направления, реализм.
[05:22 - 05:27]  Давайте, мы с вами дали четкое определение, что такое реализм.
[05:27 - 05:34]  То, что это литературное направление, которое соединяется к правдивому, объективному отражению действительности.
[05:34 - 05:39]  Художник, реалист не уходит от реальности, мечты, да?
[05:40 - 05:45]  Как романтик, он изучает реальность, что он делает, вникает в ее противоречие.
[05:45 - 05:48]  Но нужно сделать важную оговорку.
[05:49 - 05:51]  Реалист не просто копирует жизнь.
[05:51 - 05:59]  Если он будет копировать целиком жизнь и описывать свои произведения, то это будет называться натурализмом.
[06:00 - 06:05]  Это получается простым фотографированием, то, что он описывает происходящее.
[06:06 - 06:07]  А он что делает реалист?
[06:10 - 06:12]  Своей историей будет реальность.
[06:12 - 06:16]  Не то, что он. Он самое существенное отбирает.
[06:16 - 06:22]  Отбирает из жизни самое существенное, типичное и объясняет, почему так происходит.
[06:22 - 06:27]  Он показывает связь между характером человеком и обществом, в котором он живет.
[06:28 - 06:28]  Понятно?
[06:28 - 06:30]  Так, дальше запишем.
[06:30 - 06:33]  Реализм, наклонная линия, романтизм.
[06:37 - 06:48]  Реализм, коротко должны дать обозначение.
[06:48 - 06:49]  Романтик – это кто?
[06:50 - 06:51]  Сейчас объясним.
[06:51 - 06:51]  Что же самое?
[06:52 - 06:53]  Это фантазер.
[06:53 - 06:56]  Реализм, наклонная линия, романтизм.
[06:56 - 07:07]  Так, значит, романтик – это кто в произведении?
[07:07 - 07:09]  Двоеточие, романтик, двоеточие.
[07:09 - 07:11]  Тире ставим романтик двоеточие.
[07:12 - 07:16]  Произведение романтик – это исключительный герой.
[07:16 - 07:17]  Сейчас объясню.
[07:18 - 07:21]  Исключительный герой плюс исключительное обстоятельство.
[07:25 - 07:27]  Тире чего?
[07:28 - 07:31]  Нет, это мы не писали.
[07:35 - 07:35]  Романтик.
[07:37 - 07:39]  Да, исключительное обстоятельство.
[07:39 - 07:40]  А написали, ладно.
[07:40 - 07:41]  Нет, мы писали.
[07:42 - 07:43]  А, да?
[07:43 - 07:45]  Романтик двоеточие.
[07:45 - 07:48]  Исключительный герой плюс исключительное обстоятельство.
[07:48 - 07:54]  Ладно, напишите.
[07:55 - 07:58]  Все равно много не пишем в виде тезиса.
[07:58 - 08:06]  Следующий тире ставите с новой строчки, пишем «Исключительный герой плюс исключительные обстоятельства».
[08:06 - 08:08]  Записали?
[08:08 - 08:23]  Дальше, следующая строчка, тире, реалист, двоеточие, «Типичный герой плюс типичные обстоятельства».
[08:23 - 08:42]  «Типичный герой плюс типичные обстоятельства плюс историзм».
[08:42 - 08:56]  Понять суть реализма, давайте сравним его с романтизмом, как мы записали.
[08:56 - 09:00]  Романтик, как мы уже говорили, берет исключительного героя.
[09:00 - 09:02]  Какого героя исключительно это не имеете ввиду?
[09:03 - 09:04]  Там сильного может быть.
[09:05 - 09:06]  Сильного?
[09:06 - 09:07]  Сильного еще какого?
[09:07 - 09:09]  Такого, которого больше нет.
[09:09 - 09:10]  Большего нету.
[09:10 - 09:15]  Ну, они есть, но просто больно их не увидишь в обычной жизни.
[09:15 - 09:18]  Например, пираты, да, у нас в России не увидишь же пирата.
[09:18 - 09:18]  Можно увидеть.
[09:19 - 09:19]  Да.
[09:19 - 09:22]  Пирата, например, преступника, гения.
[09:23 - 09:26]  И ставит его в исключительные обстоятельства.
[09:26 - 09:27]  Какие в исключительные обстоятельства?
[09:27 - 09:31]  Например, путешествие может поставить его, еще что может?
[09:32 - 09:34]  Какое-то испытание.
[09:35 - 09:41]  Какое-то испытание, мистический лес какой-то может создать, да, как вот использовал у нас Жуковский, да?
[09:42 - 09:44]  Вот это, да, романтизм.
[09:44 - 09:50]  Да, тоже, далекая страна, мистический лес, бурное море, например.
[09:50 - 09:56]  Ему важно, что пишет в романтизме, удивить кого? Читателя, да?
[09:57 - 10:00]  Показать необычное, фэнтези.
[10:00 - 10:04]  Другими словами, да, фантастика, необычные что-то, какие-то элементы.
[10:05 - 10:12]  Реалист другой бы на самом деле умер бы в таких условиях, оказавшись необитаемым.
[10:12 - 10:19]  Ну, Робинком Крузовым существовал, исключительно обстоятельством.
[10:19 - 10:25]  Важно, получается, писать, удивить читателя, показать необычное.
[10:26 - 10:28]  Реалист поступает иначе. Что он берет?
[10:28 - 10:31]  Он берет типичного героя. Какого героя реалист берет?
[10:31 - 10:32]  Обычного парня.
[10:33 - 10:37]  Обычного крестьянина, дворянина, да, еще кого может взять?
[10:39 - 10:41]  Обычного, просто человек, скучный.
[10:41 - 10:45]  И верил также типичный, и помещает его в типичные обстоятельства.
[10:46 - 10:46]  Обычная жизнь.
[10:46 - 10:47]  Работа там.
[10:48 - 10:52]  Да, работа, обычная жизнь, в провинциальном городе, там и подобное.
[10:52 - 10:54]  Его задача не удивить, а что?
[10:54 - 10:55]  Завлечь.
[10:56 - 10:58]  Завлечь, узнать, да.
[10:58 - 11:02]  Читатель должен сказать, да я знаю такого человека, и это правда жизни.
[11:02 - 11:04]  действительности этот человек существует
[11:04 - 11:06]  также. При этом реалист
[11:06 - 11:08]  показывает развитие характера. Герой
[11:08 - 11:10]  не статичен, он меняется под влиянием
[11:10 - 11:13]  среды, времени, событий.
[11:13 - 11:14]  У романтика герой, например, не
[11:14 - 11:16]  меняется. Он каким был таким,
[11:16 - 11:18]  бунтарем, например, не остается, например.
[11:19 - 11:21]  Да, пират пиратом, да? А у
[11:21 - 11:23]  реалистов что? У нас
[11:23 - 11:26]  может измениться под воздействием
[11:26 - 11:27]  общества. Например, был
[11:27 - 11:30]  плохим, а стал хорошим. Или наоборот
[11:30 - 11:31]  под воздействием общества
[11:31 - 11:33]  стал хуже. Понятно?
[11:33 - 11:35]  Вот в чём у нас в сравнении происходит
[11:35 - 11:37]  с реализмом и романтизмом.
[11:38 - 11:39]  Следующее запишем.
[11:41 - 11:42]  Основоположники реализма.
[11:55 - 12:03]  Назовите мне, кто же стоял у истоков
[12:03 - 12:07]  русского реализма.
[12:08 - 12:10]  Традиционно называют три имени.
[12:11 - 12:14]  Три имени, кто стоял
[12:14 - 12:16]  у истоков русского реализма.
[12:17 - 12:22]  Понимаете? Иван Андреевич.
[12:23 - 12:24]  Нет.
[12:24 - 12:27]  Нет, Чуковский, попозже бы.
[12:27 - 12:28]  Нет, Иван Андреевич.
[12:28 - 12:30]  Кто басни писал?
[12:31 - 12:33]  Басни, Чука, Лебедь, Ра.
[12:34 - 12:35]  Крылов.
[12:35 - 12:36]  Первый – это Иван.
[12:37 - 12:41]  Пока не пишите, кто же стоял у истоков русского реализма.
[12:41 - 12:44]  Это традиционно называют три имени.
[12:44 - 12:46]  Первый – это Иван Андреевич Крылов.
[12:47 - 12:47]  Его басни.
[12:48 - 12:49]  Это уже реализм.
[12:49 - 12:53]  Реализм же, он же ничего там мистического не придумает.
[12:53 - 12:56]  В них он показывает живые национальные характеры.
[12:56 - 12:59]  Он показывает русский разум, русскую речь.
[13:00 - 13:01]  Можно.
[13:01 - 13:07]  Крылов не уходит в фантастику, а что он берет в своих произведениях?
[13:08 - 13:11]  Он кого берет? Каких персонажей?
[13:12 - 13:20]  Животных. Он берет животных, за которыми читатель видит реальных людей, да, реальных людей.
[13:20 - 13:27]  Второй это у нас Александр Сергеевич, кроме Пушкина еще кто был Александр?
[13:27 - 13:30]  Кто был Александр? Грибоедов, молодец.
[13:30 - 13:32]  Кто сказал Грибоедов? Молодец.
[13:32 - 13:37]  Второй это Александр Сергеевич Грибоедов и его комедия какая?
[13:37 - 13:41]  Чацкий.
[13:42 - 13:43]  Чацкий.
[13:43 - 13:45]  В каком произведении был?
[13:46 - 13:48]  «Горе от ума», да.
[13:48 - 13:56]  В центре конфликта был умный, образованный Чацкий с консервативным фамусовским обществом.
[13:56 - 14:00]  Это уже не абстрактный конфликт Чацкий и долго, как у классицистов.
[14:00 - 14:02]  Это конфликт живой, социальный, да?
[14:03 - 14:05]  А мёртвое душе тоже подходит.
[14:06 - 14:08]  Основанный на реальных событиях эпохи, да.
[14:09 - 14:10]  Третий – это у нас кто?
[14:12 - 14:16]  Александр Сергеевич Пушкин.
[14:16 - 14:22]  Пушкин. И третий это Александр Сергеевич Пушкин. Именно его Белинский называл поэтом действительности.
[14:23 - 14:36]  Вот уже в 1825 году Пушкин написал произведение, какое, как вы думаете, где показал, еще называли его произведение энциклопедией русской жизни.
[14:36 - 14:51]  Он русскую жизнь показывает в этом романе. Это произведение считает роман, который стал энциклопедией русской жизни.
[14:52 - 14:57]  Он показывает не исключительного героя, а типичного молодого человека своего времени,
[14:58 - 15:02]  который страдает от хандры и не знает, куда приложить свои силы.
[15:02 - 15:06]  Он умный, но лентяй, да, мы видим там.
[15:07 - 15:11]  Важно отметить, что переход к реализму не был мгновенным.
[15:11 - 15:13]  Сам Пушкин начинал с романтизма.
[15:14 - 15:21]  Он писал, он когда после окончания царско-сельского лицея, мы сегодня на Пушкине остановимся,
[15:22 - 15:25]  но он уехал в Петербург.
[15:25 - 15:31]  В Петербурге он писал как раз произведения в направлении романтизма.
[15:31 - 15:35]  Вот романтизм вбирал в себя его лучшие черты.
[15:35 - 15:42]  Но постепенно именно реализм стал главным методом русской литературы XIX века.
[15:42 - 15:44]  Давайте запишем.
[15:45 - 15:48]  Новоположники реализма 1-й Сире.
[15:48 - 16:36]  И.А. Крылов. И.А. Крылов. И.А. Крылов. И.А. Крылов. И.А. Крылов. И.А. Крылов. И.А. Крылов. И.А. Крылов. И.А. Крылов. И.А. Крылов. И.А. Крылов. И.А. Крылов. И.А. Крылов. И.А. Крылов. И.А. Крылов. И.А. Крылов. И.А. Крылов. И.А. Крылов. И.А. Крылов. И.А. Крылов. И.А. Крылов. И.А. Крылов. И.А. Крылов. И.А. Крылов. И.А. Крылов. И.А. Крылов. И.А. Крылов. И.А
[16:36 - 16:54]  горе от ума дальше следующий александр сергей пушкин в кавычках евгений они и последний запишем
[16:54 - 17:04]  черты реализма этой темы последний слайд потом на пушкина перейдем черты реализма еще диктовать
[17:04 - 17:15]  не люблю конечно приходится хотя бы что-то часы реализма первое правда жизни на следующих занятиях
[17:15 - 17:18]  Сами будете болтать, а то у меня все голосовые связки уже с тем, все.
[17:19 - 17:21]  Цифра 1. Правда жизни.
[17:25 - 17:26]  Жизни.
[17:27 - 17:29]  Знаете, что помогает от горла?
[17:30 - 17:30]  Конечно.
[17:31 - 17:32]  Нет.
[17:32 - 17:33]  Самое такое классное.
[17:33 - 17:35]  А, таблетки такие?
[17:35 - 17:35]  Нет.
[17:36 - 17:37]  Вообще проверенное.
[17:37 - 17:38]  Мне только помогает.
[17:38 - 17:39]  Что-то порызвать.
[17:39 - 17:43]  Его используют, эта специя, люди из партмелия.
[17:44 - 17:46]  Куманый, да?
[17:46 - 17:47]  А?
[17:47 - 17:48]  Есть и другие.
[17:49 - 17:50]  Что?
[17:50 - 17:51]  Есть и другие.
[17:52 - 17:52]  Нет.
[17:52 - 17:52]  Соль.
[17:53 - 17:54]  Соленые огурцы.
[17:55 - 17:56]  Маринованное огурце.
[17:57 - 17:58]  Вот это вот что такое?
[17:58 - 17:58]  Гвоздика.
[17:59 - 18:00]  Гвоздика.
[18:00 - 18:09]  Только вот гвоздика, антисептик, помогает от ангины, от вутер-веси-першения в горле.
[18:09 - 18:15]  Начинается самое дешевое средство, которое может быть проверено на практике.
[18:15 - 18:17]  Рекламная пауза.
[18:17 - 18:19]  Да, небольшое отступление.
[18:19 - 18:21]  Цифра 1, правда, жизни.
[18:22 - 18:28]  Ну, просто вы начнёте заболевать скоро, потому что у вас период адаптации идёт у первокурсников.
[18:28 - 18:32]  Следующая, типизация характера в цифре 2.
[18:35 - 18:37]  Типизация характера.
[18:37 - 18:55]  Если не хотите брызгать в горло, люболем, лечиться, то гвоздюку покупайте и хоть с утра где-то 20-30 минут рассасывается, просто жуёте, потом выкидываете.
[18:56 - 18:57]  И вы болеть не будете.
[18:58 - 19:00]  Дальше, типизация характера.
[19:00 - 19:04]  Третье. Критический взгляд на действительность.
[19:05 - 19:08]  Она запах убирает изо рта.
[19:08 - 19:09]  Антисептик тоже.
[19:12 - 19:15]  Критический взгляд на действительность.
[19:16 - 19:17]  Хватит так.
[19:19 - 19:21]  Критический взгляд на действительность.
[19:26 - 19:30]  И четвертый. Широкие социальные конфликты.
[19:30 - 19:35]  Сейчас объясню, что за широкий социальный конфликт.
[19:38 - 19:42]  Вот записали мы. Ну иди, иди.
[19:43 - 19:46]  Мы с вами записали основные черты реализма.
[19:46 - 19:49]  чтобы вы могли чётко их выделять из текста.
[19:50 - 19:53]  Первое – это правдивое отражение жизни.
[19:53 - 20:02]  Писатель не приукрашивает и не очерняет, а показывает, как есть на самом деле реалисты, даже если правда горькая.
[20:02 - 20:05]  Второе – это широта и многосторонность характеров.
[20:05 - 20:06]  Что это такое?
[20:06 - 20:12]  Если у классицистов герой был добрый или злой, то у реалистов он живой и сложный.
[20:12 - 20:13]  Понятно?
[20:13 - 20:18]  В одном человеке может быть доброе что-то и зло, и слабость, и сила.
[20:19 - 20:24]  Помните, как у Пушкина, например, как у Пушкина, что у него, Татьяна там была изображена.
[20:24 - 20:26]  Татьяна какая была? Что там есть?
[20:27 - 20:27]  Таукат.
[20:28 - 20:29]  Красиво очень.
[20:29 - 20:30]  Вы будете таукат?
[20:30 - 20:31]  Нет, у меня пауки.
[20:32 - 20:32]  А, пауки.
[20:33 - 20:36]  Там, тут, знаете, красная шесть, уже красивая.
[20:36 - 20:37]  Ну, это же хорошо.
[20:37 - 20:38]  Это плохо.
[20:38 - 20:41]  Значит, повысит вам стипендию скоро.
[20:41 - 20:42]  Пауки – это достатку.
[20:43 - 20:43]  Да?
[20:43 - 21:07]  У вас стипендия будет семестр всех одинаковая, а потом по истечении первой сессии, как вы сдадите, будет уже исходя из этого начислят.
[21:07 - 21:11]  Троечники не будут получать, ударники и отличники только будут.
[21:11 - 21:14]  И активисты, ударники и отличники.
[21:14 - 21:15]  12 поуков.
[21:15 - 21:21]  Из государства выделяется стипендия даже на троечников, но на троечников стипендия не будет.
[21:22 - 21:28]  Вот вся вот стипендия троечников будет распределяться между ударниками и отличниками.
[21:29 - 21:33]  Не говорили вообще, не знаю.
[21:33 - 21:34]  Это какие числа, кстати?
[21:35 - 21:36]  18-20.
[21:36 - 21:40]  Ну, я знаю, 18, 19, какой день недели хотелось бы сказать?
[21:40 - 21:41]  Пятница, суббота, воскресенье.
[21:44 - 21:46]  Вы меня спрашиваете, ничего я не знала.
[21:46 - 21:52]  Так, я вот пришла, вот преподаю, чисто вот даже в библиотеку отойти не смогла.
[21:52 - 21:53]  Вы примерно в нашем состоянии.
[21:54 - 21:56]  Так, ну давайте, где мы остановились?
[21:56 - 21:58]  Нише еще Пушкина надо объяснить.
[21:58 - 22:00]  Да, Пушкин, Пушкин.
[22:00 - 22:02]  Подождите, Пушкина Татьяна какая?
[22:03 - 22:06]  Добрая, доверчивая, я вспомню.
[22:06 - 22:07]  Она гордая?
[22:08 - 22:10]  Потом, вначале она была не гордая.
[22:10 - 22:13]  Она была любящая, доверчивая.
[22:13 - 22:14]  Но потом стала гордой.
[22:17 - 22:21]  Онегид какой, я вам сказала, умный, но ленивый.
[22:21 - 22:24]  Третье, это цепилизация мы записали.
[22:24 - 22:28]  Реалист создает образы, в которых отражаются с целью общественные явления.
[22:29 - 22:32]  Например, Обломов. Это просто ленивый человек.
[22:32 - 22:37]  Через этого Обломова что хочется показать в писателе?
[22:37 - 22:44]  Это символ целого дворянского уклада жизни.
[22:45 - 22:49]  То, что они не знают, чем заняться, у них услуги есть, да?
[22:49 - 22:51]  Чем он занял? Он просто спит напросто, да?
[22:52 - 22:59]  Это вот бич того времени, дворянского уклада жизни.
[22:59 - 23:01]  Они на работу не уходят.
[23:02 - 23:05]  Манилов – это тип пустого мечтателя.
[23:05 - 23:08]  Четвертое. Реализм часто носит критический характер.
[23:09 - 23:13]  Писатели не просто показывают жизнь, а что они делают, они ее судят.
[23:13 - 23:17]  Они критикуют крепостное право, бюрократию, невежество.
[23:17 - 23:23]  Отсюда и термин критический реализм, который часто применяется в русской литературе.
[23:25 - 23:29]  В реалистических произведениях используются самые разные конфликты.
[23:29 - 23:36]  Не только один конфликт может использоваться, а может и социальный конфликт, и любовный конфликт может использоваться.
[23:36 - 23:38]  И философские раздумья.
[23:38 - 23:44]  Реалист не ограничен каким-то одним типом конфликта, как классицист или сентименталист.
[23:45 - 23:50]  У него более расширенный диапазон в использовании, например, конфликтов. Понятно?
[23:50 - 23:56]  И в заключение нашей лекции, что хочу сказать, Ян.
[23:56 - 24:05]  Главную мысль литературы первой половины XIX века – это ожесточенная борьба идей.
[24:05 - 24:24]  Мы видим, как от строгих правил классицизма и умиления сентиментализма литература переходит к романтизму, а потом от романтизма к реальности, к бунту против скучной реальности.
[24:24 - 24:31]  А затем на смену романтическому реализм трезвый, суровый, но правильный взгляд на действительность.
[24:31 - 24:58]  Мы увидели две разные судьбы поэтов. Это Жуковского и Рылеева. Один, который пошел на плаху за свои идеалы, и Жуковский, который нашел спасение в чем? В красоте стиха, в музыке и вере. Оба они были очень важны. Они несли большой вклад в развитие литературы. Один сколыхнул общество, другой дал мелодию, на которой вырос Пушкин и другие поэты.
[24:58 - 25:06]  Именно к творчеству Пушкина, Грибоедова, Лермонтова и Гоголя мы перейдем на следующее занятие.
[25:07 - 25:11]  Сегодня давайте остановимся на Александре Сергеевича Пушкина.
[25:11 - 25:13]  Запишите. Александр Сергеевич Пушкин.
[25:17 - 25:21]  Основоположник новой русской литературы.
[25:36 - 25:38]  Это жизнь и творчество.
[25:41 - 25:44]  Основоположник новой русской литературы.
[25:49 - 25:53]  Жизнь и творчество.
[25:53 - 26:11]  Вот мы с вами закончили, говорили о литературных направлениях первой половины XIX века, о романтизме, о реализме, о Жуковском, о релееве.
[26:11 - 26:19]  Сегодня мы переходим к главному имени русской литературы, литературы к Александру Сергеевичу Пушкину.
[26:19 - 26:28]  Вопрос такой, как вы думаете, почему Александра Сергеевича Пушкина называют солнцем русской поэзии?
[26:28 - 26:36]  Пожалуйста, называют солнцем русской поэзии, пожалуйста, что хочешь сказать?
[26:36 - 26:43]  Солнце это символ чего? Ярче всех. Без солнца возможно жизнь?
[26:43 - 26:44]  Нет.
[26:45 - 26:52]  Темнота будет, не будет витамина Д, мы будем слабые.
[26:52 - 26:55]  Как показывает практика, люди будут истощены.
[26:55 - 27:01]  Кстати, витамина В, витамина В отличается в 2 раза больше и в 3 раза больше, чем в обществе.
[27:01 - 27:03]  Да, смотри, это интересно.
[27:03 - 27:03]  У кого?
[27:03 - 27:05]  В рыжей пени.
[27:05 - 27:08]  В частности, скажите, по мне, да?
[27:08 - 27:12]  Не, у меня 50 на 50, у меня рыжий и коричневый.
[27:12 - 27:18]  Ну почему его считать солнцем?
[27:18 - 27:22]  Потому что он осветил проход в остальные страны.
[27:22 - 27:25]  Придумал новый этот штуки, разный.
[27:25 - 27:32]  Осветил проход, связал связь с другими странами, с другими народами
[27:32 - 27:36]  А, использовал этот крестьянский язык
[27:36 - 27:42]  Знаете, раньше разделение было, язык на крестьяне, где говорили как раз русский
[27:42 - 27:44]  И этот дворяне русский
[27:44 - 27:47]  И он это типа объединил их
[27:47 - 27:55]  Молодец, он говорит то, что было развитие в разговорной речи у простого народа и у дворянства
[27:55 - 28:12]  На самом деле было расслоение. В церковной слое индивянской терминологии использовалось в книжных книгах, использовались заимственные слова, которые были непонятны для простого населения, общества.
[28:12 - 28:36]  И вот Александр Сергеевич Пушкин как раз объединил вот это всё, учёл, да, все вот эти тонкости, оставил только те слова, которые были понятны. Значит, что он сделал? Он создал современный литературный язык. Он основоположник литературного современного языка.
[28:36 - 29:01]  Мы же знаем, я вам и говорила, что до XVIII века русский язык считался второсортным языком, модно было изучать, получать образование на танцузском и немецких языках, и благодаря Александру Сергеевичу, Михаилу Васильевичу Романосову мы сейчас разговариваем на таком могуществе, на таком богатом языке.
[29:01 - 29:10]  Не говорят уж, вы много болтаете, давайте им говорить, а то студенты некоторые говорят только на...
[29:10 - 29:14]  Кто не умеет выражать правильно, грамотно, матом некоторые разговаривают.
[29:15 - 29:18]  Я говорю, не знаю, я говорю, я еще не слышала, говорю ни разу.
[29:19 - 29:19]  Можно.
[29:22 - 29:28]  Так, значит, он создал, да, современный литературный язык.
[29:28 - 29:36]  Соединил, как ты сказал, книжную и разнородную речь, да, христианскую речь.
[29:36 - 29:39]  И также стал основоположником чего?
[29:40 - 29:42]  Мы записали недавно в литературе.
[29:44 - 29:47]  Основоположником реализма, да.
[29:47 - 29:53]  А реализм он показал через произведение Евгения Онегина,
[29:53 - 29:59]  где описывается современная русская жизнь, да, описана в её действительности.
[29:59 - 30:33]  Так, пишем. Пушкин создал современный литературный язык, запятая, соединил книжную и народную речь.
[30:36 - 30:42]  Вроде бы, когда встаешь с утра, температура показывает сколько градусов?
[30:42 - 30:42]  Седьмой.
[30:43 - 30:48]  Книжную и разговорную, ой, книжную, что я сказала там, книжную и народную речь.
[30:49 - 30:56]  Почему не холодно на улице? Хотя на термоментре показывают 13-15 градусов, как вы думаете?
[30:56 - 31:03]  Солнце в открытом
[31:03 - 31:04]  Солнце в открытом, за чего больше
[31:04 - 31:07]  Потому что ветра еще нет
[31:07 - 31:08]  Ветра, да, надо
[31:08 - 31:10]  Ветер не дует
[31:10 - 31:11]  Так, ладно, записали
[31:11 - 31:15]  Соединил книжную и народную речь
[31:15 - 31:18]  Стал основоположником реализма
[31:18 - 31:26]  Так, не пишем, много писать не будем
[31:26 - 31:29]  Но вы должны будете
[31:29 - 31:30]  В книгах это прочитать
[31:30 - 31:32]  Найти то, что я рассказывала
[31:32 - 31:34]  Кто будет давать зачет
[31:34 - 31:38]  Значит, рассказываю
[31:38 - 31:39]  Детское лицея
[31:39 - 31:52]  Значит, родился он в 1799 году, знаем, да, с 1979 года по 1799 года, по 1817 году.
[31:52 - 32:03]  У него прошли в этих годах детство, и потом он получил образование в Царской сельском лицее.
[32:03 - 32:10]  Александр Сергеевич Пушкин родился где, думаете? В Москве, да, где родился?
[32:12 - 32:17]  Михайловский, что ли?
[32:17 - 32:18]  Он там был.
[32:19 - 32:23]  Ну нет, он в Москве родился в 1799 году.
[32:23 - 32:29]  Он происходил из какого, думаете, из хорошего рода?
[32:31 - 32:32]  Образование хорошее получило?
[32:33 - 32:34]  Среднее формирование.
[32:34 - 32:35]  Ладно, я расскажу.
[32:36 - 32:39]  Ну давайте поговорим, что вы знаете про Александра Сергеевича Пушкина.
[32:39 - 32:42]  Пожалуйста, а то я сейчас буду говорить, а может вы все знаете.
[32:42 - 32:47]  Я свои гланды приберегу.
[32:48 - 32:49]  Так, ты что знаешь?
[32:52 - 32:57]  Понятно, это погиб в дуэли, да, молодец.
[32:59 - 33:01]  Так, а почему он погиб-то?
[33:01 - 33:05]  Потому что у него попали куда-то, по-моему, в почки, в печени.
[33:05 - 33:07]  Но умер он не на самой дуэли, а уже после.
[33:08 - 33:11]  Да, он потому что отказался от помощи.
[33:13 - 33:17]  Это девушка из-за жены, из-за Натальи Гончаровой.
[33:17 - 33:19]  Сколько вообще у него дуэли было?
[33:19 - 33:21]  15-16.
[33:25 - 33:32]  Так, значит, смотрите, могу сказать факты, которые я читала.
[33:32 - 33:38]  Всего было 29 дуэль, 29 дуэль оказался последний.
[33:39 - 33:41]  Дальше, что вы еще мне сказали.
[33:42 - 33:47]  Так, он стрелялся из-за своей жены Натальи Гончарова,
[33:47 - 33:51]  потому что Дантес начал проявлять знаки внимания его жены.
[33:51 - 34:00]  По историке, который пишет в книге, Александр Сергеевич Пушкин был очень ревнивым человеком.
[34:00 - 34:01]  Он спыльчивым больше.
[34:01 - 34:02]  Спыльчивым.
[34:02 - 34:03]  Он был ревнивым.
[34:03 - 34:05]  Он говорил всегда.
[34:05 - 34:07]  Он даже от своим друзьям кидал вызов.
[34:07 - 34:07]  Прямо линейным был.
[34:08 - 34:09]  Прямо линейным был.
[34:10 - 34:16]  Потом он написал около 800 произведений, 800 стихотворений.
[34:17 - 34:20]  Примерно написал 29 поэм.
[34:20 - 34:21]  Как вы считаете, много?
[34:21 - 34:22]  Очень.
[34:22 - 34:40]  Очень много, да. Как он писал свои произведения и стихотворения, могу рассказать. У него сразу приходило вдохновение, он даже не успевал записывать. У него приходило это стихотворение в голове, и если у него луч не было под рукой, то он просто запоминал, потом приходил, писал.
[34:40 - 34:47]  Что еще могу сказать? Родился он в хорошей семье. Вы были...
[34:47 - 34:49]  Не правы. Не угадали.
[34:49 - 34:52]  Он происходил из старинного дворянского рода.
